id,start,oospore_maturation,oospore_germination,oospore_dispersion,oospore_infection,incubation_days,completed_incubation,sporulations,sporangia_densities,spore_lifespan_days,secondary_infections,oospore_infection_strength,secondary_infection_strengths
17526,2025-05-02 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17544,2025-05-02 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17562,2025-05-03 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17580,2025-05-03 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 18:30:00+02:00,2025-05-04 18:30:00+02:00,2025-05-04 22:20:00+02:00,7.4005927320280165,2025-05-16 22:20:00+02:00,2025-05-20 01:20:00+02:00,111507.69230769233,13.294216311590466,2025-05-20 02:40:00+02:00,148.41666666666666,290.98333333333335
17598,2025-05-03 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 18:30:00+02:00,2025-05-04 18:30:00+02:00,None,None,None,None,None,None,None,None,None
17616,2025-05-03 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 19:00:00+02:00,2025-05-04 19:00:00+02:00,2025-05-04 23:00:00+02:00,7.4005927320280165,2025-05-16 23:00:00+02:00,2025-05-20 01:20:00+02:00,111507.69230769233,13.294216311590466,2025-05-20 02:40:00+02:00,148.41666666666666,290.98333333333335
17634,2025-05-03 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 19:00:00+02:00,2025-05-04 19:00:00+02:00,None,None,None,None,None,None,None,None,None
17652,2025-05-03 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 19:00:00+02:00,2025-05-04 19:00:00+02:00,None,None,None,None,None,None,None,None,None
17670,2025-05-03 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 19:00:00+02:00,2025-05-04 19:00:00+02:00,None,None,None,None,None,None,None,None,None
17688,2025-05-03 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 19:00:00+02:00,2025-05-04 19:00:00+02:00,None,None,None,None,None,None,None,None,None
